,name,top1,top5
1389,"(3,6,7,12)",0.68326,0.88188
1390,"(0,1,4,5,6,7,8,9,10,11,13)",0.67514,0.87586
1391,"(3,7,8,10,12)",0.68284,0.88158
1392,"(1,6,8,9,10,11,12,13,14)",0.68254,0.88054
1393,"(0,2,3,4,7,10,11,12,13)",0.67716,0.8771
1394,"(1,2,4,5,6,7,9,12,13,14)",0.68106,0.88028
1395,"(0,2,3,5,7,8,9,10,12,13)",0.67706,0.8762
1396,"(1,4,7,9,10,14)",0.6817,0.88038
1397,"(2,4,6,7,8,10,11,12)",0.68292,0.88054
1398,"(1,3,5,8,10,11,12,14)",0.68246,0.88094
1399,"(1,3,5,6,8,9,13,14)",0.6815,0.8809
1400,"(2,4,5,7,11,12,14)",0.6836,0.88104
1401,"(2,3,4,7,8,9,11,14)",0.6834,0.8812
1402,"(0,1,2,3,5,7,8,9,10,12,13)",0.67372,0.87494
1403,"(0,1,2,4,5,6,7,8,10,12,14)",0.67418,0.87502
1404,"(1,2,3,5,8,11,13,14)",0.68226,0.88158
1405,"(2,5,9,10,12)",0.68354,0.88084
1406,"(5,6,12,14)",0.68418,0.88156
1407,"(1,2,3,6,8,9,10,13)",0.68124,0.88006
1408,"(0,1,2,4,6,7,11,12,13,14)",0.67396,0.87522
1409,"(0,1,4,5,10,11,12,14)",0.67574,0.87586
1410,"(0,1,2,4,5,8,11,13,14)",0.67516,0.87608
1411,"(2,9)",0.6835,0.88114
1412,"(1,4,6,8,10,11,13)",0.68212,0.88072
1413,"(1,2,3,4,5,6,7,9,10,11)",0.68112,0.87958
1414,"(0,3,8,9,10,12,13,14)",0.67834,0.87746
1415,"(4,8,9,14)",0.68328,0.88204
1416,"(0,2,3,7,12,14)",0.6764,0.87678
1417,"(7,8,10,11,12,13,14)",0.68318,0.8813
1418,"(3,4,7,9,10,11,13)",0.6831,0.8808
1419,"(3,5,7,8,11,12,14)",0.68348,0.8811
1420,"(0,5,9)",0.67972,0.87884
1421,"(3,7,8,10,11,13,14)",0.68314,0.88154
1422,"(4,6,7,9)",0.68338,0.8814
1423,"(0,2,3,5,6,13,14)",0.67756,0.87738
1424,"(0,1,4,10,11,12,13)",0.67548,0.87598
1425,"(0,1,4,5,8,9,10,12,13,14)",0.6758,0.87548
1426,"(0,2,5,9,10,11,12,13)",0.67816,0.87704
1427,"(2,3,5,6,11,14)",0.68282,0.88164
1428,"(0,2,3,6,7,12,14)",0.67588,0.87698
1429,"(1,2,3,6,7,11)",0.68234,0.88066
1430,"(2,3,7,8,9,11,14)",0.68316,0.8817
1431,"(0,1,4,5,6,7,9,10,11,14)",0.6752,0.87522
1432,"(2,4,5,7,9,13)",0.68326,0.88086
1433,"(2,3,4,6,7,9,10,11)",0.6822,0.88028
1434,"(2,3,7,8,11)",0.68348,0.88174
1435,"(0,2,3,4,6,7,10)",0.6765,0.87722
1436,"(1,2,4,6,7,8,12)",0.6816,0.88022
1437,"(3,5,8,11)",0.68328,0.88238
1438,"(1,4,5,7,10,11,12)",0.68254,0.88074
1439,"(1,4,6,8,9,11,13,14)",0.68246,0.88144
1440,"(4,5,6,8,11,13)",0.68416,0.88188
1441,"(4,8,9,10,12)",0.68252,0.88126
1442,"(2,3,6,8,13,14)",0.68276,0.88176
1443,"(0,1,5,7,8,9,11,14)",0.67664,0.8769
1444,"(0,1,4,6,11)",0.67558,0.87662
1445,"(4,5,6,11,13,14)",0.6837,0.8818
1446,"(1,2,3,4,5,7,11,12,14)",0.68136,0.88028
1447,"(0,2,6,7,8,13)",0.67784,0.87812
1448,"(1,2,3,5,6,10,11,12)",0.6819,0.88
1449,"(0,1,2,3,5,6,9,10,12,13,14)",0.6731,0.87518
1450,"(1,3,7,13)",0.68254,0.88178
1451,"(1,2,3,5,6,7,8,10,11,12,14)",0.6818,0.8797
1452,"(1,2,3,5,6,7,11,13)",0.68176,0.88042
1453,"(0,1,3,4,5,6,8,9,11,12)",0.67598,0.87544
1454,"(0,1,2,6,10,12,14)",0.67422,0.8756
1455,"(0,1,2,4,9,12,13,14)",0.67406,0.87482
1456,"(2,4,7,12,14)",0.68314,0.88096
1457,"(0,1,2,4,5,6,7,10,13,14)",0.67364,0.87562
1458,"(0,2,3,4,5,6,7,8,10,11,12,14)",0.67694,0.87692
1459,"(0,2,3,4,7,8,9,12,13)",0.67628,0.87692
1460,"(0,1,5,7,8,10,11,13,14)",0.67696,0.87722
1461,"(1,5,9,11,13)",0.6834,0.8814
1462,"(3,5,6,7,8,12,13,14)",0.68298,0.88108
1463,"(0,4,7,8,11,13)",0.679,0.87904
1464,"(2,3,4,5,6,11,13)",0.68176,0.8812
1465,"(0,3,5,6,8,10,14)",0.67898,0.87872
1466,"(2,5,6,7,8,11,14)",0.68378,0.88074
1467,"(0,4,5,6,10,11,14)",0.67924,0.87876
1468,"(1,2,3,4,6,8,11,13)",0.68102,0.8808
1469,"(0,2,4,5)",0.67768,0.87876
1470,"(1,2,4,5,6,8,10,11,14)",0.68146,0.88076
1471,"(1,2,3,6,7,12,14)",0.68168,0.88036
1472,"(1,4,5,9,10,11,12)",0.68228,0.88076
1473,"(0,5,9,12,14)",0.6789,0.87808
1474,"(0,2,3,4,5,6,7,8,11)",0.67756,0.878
1475,"(0,3,5,7,11,14)",0.67908,0.87836
1476,"(0,1,3,4,6,9,12,13,14)",0.67396,0.8747
1477,"(3,10)",0.68324,0.88194
1478,"(0,4,5,6,8,9,10,13,14)",0.6785,0.87834
1479,"(0,1,2,3,4,7,9,11,13,14)",0.6735,0.87418
1480,"(2,3,5,6,8,9,12,13,14)",0.68288,0.8804
1481,"(4,6,11,12)",0.68444,0.88174
1482,"(0,2,3,6,10,12,14)",0.67696,0.87694
1483,"(1,3,4,5,7,9,10,12)",0.68226,0.87982
1484,"(2,3,4,5,6,7,12,13,14)",0.68238,0.88032
1485,"(0,1,3,5,7,9,11,12,13)",0.67574,0.87526
1486,"(2,3,4,6,9,10,12,13,14)",0.6821,0.87966
1487,"(0,2,5,6,8,10,13)",0.67812,0.87824
1488,"(0,2,5,6,7,8,9,10)",0.67814,0.87744
1489,"(0,2,6,8,10,11,12,14)",0.67818,0.8778
1490,"(1,2,7,10,11,12)",0.68284,0.8802
1491,"(2,3,6,10,13)",0.6826,0.88116
1492,"(1,4,5,6,7,10,11,12,14)",0.68156,0.87996
1493,"(0,1,2,8,14)",0.6756,0.87618
1494,"(0,3,8,13,14)",0.6791,0.87866
1495,"(0,1,2,3,10,11)",0.67466,0.87566
1496,"(0,1,8,9,11,13)",0.67706,0.87716
1497,"(1,2,3,6,7,8,9,10,11,12,13)",0.68112,0.8792
1498,"(2,3,4,7,11,12,13)",0.68278,0.88088
1499,"(0,4,5,6,7,11,12)",0.67932,0.8782
1500,"(3,6,7,9,10,11,12,13,14)",0.68224,0.88036
1501,"(0,1,2,3,4,5,7,8,10,11,12,13)",0.67352,0.87482
1502,"(1,5,7,9,10,11,12,14)",0.68326,0.8802
